comp_name,dep_status,duration,end_date,etl_type,failed_steps,i_load_plan,name,nb_run,row_tag,running_steps,sess_no,start_date,status,succ_steps,total_steps
116839 - 1 - apl-crm-app general daily plan,,03:15,2020-06-11 06:40:34.0,CDP-OCI,0,1205,apl-crm-app general daily plan,1,388,0,116839,2020-06-11 03:25:14.0,Completed,16,16
116838 - 1 - apl-scm-mfg-quality-conditional,,00:00,2020-06-11 03:22:58.0,CDP-OCI,0,1662,apl-scm-mfg-quality-conditional,1,389,0,116838,2020-06-11 03:22:56.0,Completed,0,5
116837 - 1 - sds-fia-app om custom load,,00:00,2020-06-11 03:21:05.0,CDP-OCI,0,460,sds-fia-app om custom load,1,390,0,116837,2020-06-11 03:20:53.0,Completed,15,15
116836 - 1 - apl-scm-scp MODEL LP,,00:00,2020-06-11 03:17:52.0,CDP-OCI,0,1055,apl-scm-scp MODEL LP,1,391,0,116836,2020-06-11 03:17:32.0,Completed,4,7
116835 - 1 - sds-fia-app om custom load,,-1:58,2020-06-11 03:13:20.0,CDP-OCI,0,460,sds-fia-app om custom load,1,392,0,116835,2020-06-11 03:14:56.0,Completed,15,15
116832 - 1 - sds-fia-app om custom load,,00:00,2020-06-11 03:07:23.0,CDP-OCI,0,460,sds-fia-app om custom load,1,393,0,116832,2020-06-11 03:07:00.0,Completed,15,15
116834 - 1 - apl-scm-core quality conditional load plan,,00:01,2020-06-11 03:08:41.0,CDP-OCI,0,1652,apl-scm-core quality conditional load plan,1,394,0,116834,2020-06-11 03:06:47.0,Completed,0,8
116833 - 1 - apl-scm-mfg-quality-conditional,,00:00,2020-06-11 03:05:24.0,CDP-OCI,0,1662,apl-scm-mfg-quality-conditional,1,395,0,116833,2020-06-11 03:05:21.0,Completed,0,5
116831 - 1 - sds-oalodi-app plan1,,00:00,2020-06-11 03:04:57.0,CDP-OCI,0,1302,sds-oalodi-app plan1,1,396,0,116831,2020-06-11 03:04:42.0,Completed,5,5
116829 - 1 - fdl-common-app hourly consume,,00:07,2020-06-11 03:12:39.0,CDP-OCI,0,812,fdl-common-app hourly consume,1,397,0,116829,2020-06-11 03:04:41.0,Completed,48,63
116828 - 1 - sds-fia-erp hourly load plan Fin01,,00:02,2020-06-11 03:07:35.0,CDP-OCI,0,463,sds-fia-erp hourly load plan Fin01,1,398,0,116828,2020-06-11 03:04:37.0,Completed,229,408
116825 - 1 - sds-fia-app hourly plan1,,00:12,2020-06-11 03:17:20.0,CDP-OCI,0,1464,sds-fia-app hourly plan1,1,399,0,116825,2020-06-11 03:04:28.0,Completed,1609,4044
116827 - 1 - sds-oalprj-app stream replicate hourly,,00:00,2020-06-11 03:04:45.0,CDP-OCI,0,1345,sds-oalprj-app stream replicate hourly,1,400,0,116827,2020-06-11 03:04:27.0,Completed,5,5
116830 - 1 - apl-scm-app 102 Order Management hourly load plan,,00:48,2020-06-11 03:51:30.0,CDP-OCI,0,848,apl-scm-app 102 Order Management hourly load plan,1,401,0,116830,2020-06-11 03:02:50.0,Completed,37,37
116824 - 1 - sds-fia-app hourly auto load plan1,,00:01,2020-06-11 03:03:51.0,CDP-OCI,0,1462,sds-fia-app hourly auto load plan1,1,402,0,116824,2020-06-11 03:02:38.0,Completed,178,178
116826 - 1 - appl-monitor-app plan,,00:02,2020-06-11 03:04:53.0,CDP-OCI,0,774,appl-monitor-app plan,1,403,0,116826,2020-06-11 03:02:35.0,Completed,5,5
116823 - 1 - sds-fia-app om custom load,,00:00,2020-06-11 02:59:24.0,CDP-OCI,0,460,sds-fia-app om custom load,1,404,0,116823,2020-06-11 02:59:10.0,Completed,15,15
116822 - 1 - apl-scm-core quality conditional load plan,,-1:58,2020-06-11 02:51:06.0,CDP-OCI,0,1652,apl-scm-core quality conditional load plan,1,405,0,116822,2020-06-11 02:52:55.0,Completed,0,8
116821 - 1 - sds-fia-app om custom load,,00:00,2020-06-11 02:51:36.0,CDP-OCI,0,460,sds-fia-app om custom load,1,406,0,116821,2020-06-11 02:51:23.0,Completed,15,15
116820 - 1 - apl-scm-mfg-quality-conditional,,00:00,2020-06-11 02:49:40.0,CDP-OCI,0,1662,apl-scm-mfg-quality-conditional,1,407,0,116820,2020-06-11 02:49:38.0,Completed,0,5
116819 - 1 - apl-scm-app 509 SCP PvA Three Hourly load plan,,00:20,2020-06-11 03:03:01.0,CDP-OCI,0,1074,apl-scm-app 509 SCP PvA Three Hourly load plan,1,408,0,116819,2020-06-11 02:42:49.0,Completed,2,2
116818 - 1 - sds-fia-app om custom load,,00:02,2020-06-11 02:43:50.0,CDP-OCI,0,460,sds-fia-app om custom load,1,409,0,116818,2020-06-11 02:41:46.0,Completed,15,15
116817 - 1 - sds-fia-app om custom load,,00:00,2020-06-11 02:36:05.0,CDP-OCI,0,460,sds-fia-app om custom load,1,410,0,116817,2020-06-11 02:35:52.0,Completed,15,15
116816 - 1 - apl-scm-core quality conditional load plan,,00:00,2020-06-11 02:35:23.0,CDP-OCI,0,1652,apl-scm-core quality conditional load plan,1,411,0,116816,2020-06-11 02:35:21.0,Completed,0,8
116815 - 1 - apl-scm-scp OPTION LP,,00:00,2020-06-11 02:32:54.0,CDP-OCI,0,1059,apl-scm-scp OPTION LP,1,412,0,116815,2020-06-11 02:32:33.0,Completed,4,7
116814 - 1 - apl-scm-app 101 inventory hourly load plan,,00:22,2020-06-11 02:54:43.0,CDP-OCI,0,758,apl-scm-app 101 inventory hourly load plan,1,413,0,116814,2020-06-11 02:32:33.0,Completed,18,18
116813 - 1 - apl-scm-mfg-quality-conditional,,00:00,2020-06-11 02:32:06.0,CDP-OCI,0,1662,apl-scm-mfg-quality-conditional,1,414,0,116813,2020-06-11 02:32:04.0,Completed,0,5
116812 - 1 - sds-fia-app om custom load,,00:00,2020-06-11 02:28:20.0,CDP-OCI,0,460,sds-fia-app om custom load,1,415,0,116812,2020-06-11 02:28:08.0,Completed,15,15
116811 - 1 - sds-fia-app om custom load,,00:00,2020-06-11 02:20:34.0,CDP-OCI,0,460,sds-fia-app om custom load,1,416,0,116811,2020-06-11 02:20:22.0,Completed,15,15
116810 - 1 - apl-scm-core quality conditional load plan,,00:00,2020-06-11 02:17:49.0,CDP-OCI,0,1652,apl-scm-core quality conditional load plan,1,417,0,116810,2020-06-11 02:17:47.0,Completed,0,8
